pdf_filename,procedure_description,typical_duration,anesthesia_type,hospital_stay,recovery_timeline,risks_mentioned,category,procedure,confidence
[92%] univ-colon-rectal-postop-instructions-anorectal-surgery.pdf,"University Colon & Rectal Surgery 1934 Alcoa Hwy, Bldg",,general,,,"['bleeding', 'infection', 'scarring', 'complications']",General Surgery,Hemorrhoidectomy,0.92
[76%] Laparoscopic_cholecystectomy_postop_instructions.pdf,POST OPERATIVE PATIENT INSTRUCTIONS Procedure: Laparoscopic Cholecystectomy – Gallbladder Removal WHAT TO EXPECT • Surgery to take about 1 hour • Recover from anesthesia usually 1 ½ hour before you are ready to go home • Pain or discomfort 2-3 days POST- OP • You will have absorbable sutures hidden under your skin with skin glue on top of your skin,,,,,['infection'],General Surgery,Gallbladder Removal,0.76
[84%] gall-bladder-removal.pdf,Get Well Soon This leaflet is a guide to recovering from a gallbladder removal operation,,,,,['complications'],General Surgery,Gallbladder Removal,0.84
[90%] post-operative-care-for-extractions.pdf,Tooth Extraction Post -Operative Instructions BLEEDING Bleeding after surgery may continue for several hours,,,,,"['bleeding', 'infection', 'blood clot']",Oral Surgery,Oral Surgery,0.9
[90%] 200218_OSSC_Instructions_Post-Operative_Wisdom_Teeth_FINAL.pdf,"Unless told otherwise, do not engage in any vigorous physical activity for 3 days following your surgery",,local,,,"['bleeding', 'infection', 'blood clot', 'complications']",Oral Surgery,Oral Surgery,0.9
[84%] ALP-Post-Op_Instructions-Dental_Implants.pdf,"Post-Operative Instructions: Dental Implants If you have any questions or concerns after your surgery, you can reach your doctor 24 hours a day by calling our office number",,,,,['bleeding'],Oral Surgery,Oral Surgery,0.84
[74%] ALP-Post-Op_Instructions-Orthothic.pdf,"Post-Operative Instructions: Orthognathic Surgery If you have any questions or concerns after your surgery, you can reach your doctor 24 hours a day by calling our office number",,general,,,"['bleeding', 'infection']",Oral Surgery,Oral Surgery,0.74
[62%] 200218_OSSC_Instructions_General_Post-Operative_FINAL.pdf,The local anesthetic administered during your surgery normally has a duration of about 2-8 hours,,,,,"['bleeding', 'infection', 'blood clot']",Oral Surgery,Oral Surgery,0.62
[88%] 68f08a_55fac495e083426d80d28c5ed20dcf5c.pdf,Please contact our office if numbness does not wear off within 48 hours of surgery,,Local,,,"['bleeding', 'infection']",Oral Surgery,Oral Surgery,0.88
[92%] 68f08a_8cec21aac8b347e48cf0a42b87b7a641.pdf,POST-OP SINUS LIFT | DOB: SINUS LIFT AND BONE GRAFT SURGERY Post-Operative Care Instructions Immediately Following Surgery: The gauze pad placed over the surgical area should be kept in place for 30 minutes and changed at regular intervals until the bleeding subsides,,,,,"['bleeding', 'infection']",Oral Surgery,Oral Surgery,0.92
[88%] 68f08a_1c3036f7d501471c9294a4b0a470c0e0.pdf,Please contact our office if numbness does not wear off within 48 hours of surgery,,Local,,,"['bleeding', 'infection', 'blood clot']",Oral Surgery,Oral Surgery,0.88
[62%] 200218_OSSC_Instructions_Post-Operative_Dental_Implant_Bone_Grafting_FINAL.pdf,POST-OPERATIVE INSTRUCTIONS: DENTAL IMPLANT/BONE GRAFT 1ACTIVITY Keep physical activity to a minimum immediately following surgery,,,,,['bleeding'],Oral Surgery,Oral Surgery,0.62
[92%] Smart-Guide-to-wisdom-Teeth.pdf,"YOUR SMART GUIDE TO WISDOM TEETH A complete guide for parents, students, and professionals about wisdom teeth removal Capital Center for Oral and Maxillofacial Surgery www",,local,,,"['bleeding', 'infection', 'blood clot', 'complications']",Oral Surgery,Wisdom Teeth,0.92
[88%] gwswisdomteethremoval.pdf,Get Well Soon This leaflet is a guide to recovering from an operation to remove one or more wisdom teeth,,,,,"['bleeding', 'infection', 'blood clot', 'complications']",Oral Surgery,Total Hip Replacement,0.88
[90%] post-operative-care-for-extractions.pdf,Tooth Extraction Post -Operative Instructions BLEEDING Bleeding after surgery may continue for several hours,,,,,"['bleeding', 'infection', 'blood clot']",Oral Surgery,Tooth Extraction,0.9
[62%] ALP-Post-Op_Instructions-Wisdom_Teeth_Extraction.pdf,"Post-Operative Instructions: Wisdom Teeth Extraction After Wisdom Teeth Extraction The removal of impacted wisdom teeth is a serious surgical procedure, so post-operative care is very important",,,,,"['bleeding', 'infection', 'blood clot']",Oral Surgery,Tooth Extraction,0.62
[90%] wisdom-tooth-extraction.pdf,KEEP THE MOUTH CLEAN  Vigorous rinsing or spitting should be avoided until the day following surgery,,local,,,"['bleeding', 'infection', 'blood clot', 'complications']",Oral Surgery,Tooth Extraction,0.9
[55%] ALP-Post-Op_Instructions-Tooth_Extraction.pdf,"Post-Operative Instructions: Tooth Extraction If you have any questions or concerns after your surgery, you can reach your doctor 24 hours a day by calling our office number",,,,,['bleeding'],Oral Surgery,Tooth Extraction,0.55
[90%] nice-review-of-guidance-on-wisdom-teeth-extraction-fds-response-with-appendices.pdf,Faculty of Dental Surgery response Respond t o Andrew Kenyon on 0161 870 3160 or andrew,,,,,"['infection', 'complications']",Oral Surgery,Tooth Extraction,0.9
[88%] Rhinoplasty-Post-Operative-Instructions.pdf,Post Operative Instructions – Rhinoplasty Surgery WHAT TO EXPECT Pain Some pain can be expected after surgery,,,,,"['bleeding', 'blood clot', 'complications']",ENT Surgery,ENT Surgery,0.88
[88%] pl-1083.1-thyroid-surgery-your-recovery-journey.pdf,You are going to have surgery to remove part of or all of your thyroid and we want to ensure you recover from your operation as quickly and as well as possible,,,,,['infection'],ENT Surgery,ENT Surgery,0.88
[74%] thyroidectomy-postopdoc.pdf,"Generally, patients experience a mild sore throat for 2-3 days following head and neck surgery",,,,,['bleeding'],ENT Surgery,ENT Surgery,0.74
[84%] s41598-023-50633-z.pdf,"During bilateral tonsillectomy procedures, one tonsil received low‑power settings (15 W, cutting/blend) while the other tonsil received high‑power settings (35 W, cutting/blend)",,local,,,"['bleeding', 'infection', 'complications']",ENT Surgery,ENT Surgery,0.84
[56%] GIRFT-best-practice-thyroidectomy-Final-20220830.pdf,It is aimed to provide advice on various aspects of surgery which should be available and clearly documented in a thyroidectomy operation record,,,,,"['bleeding', 'infection', 'scarring', 'complications']",ENT Surgery,ENT Surgery,0.56
[72%] LumpectomyPMInstructions.pdf,LUMPECTOMY/PARTIAL MASTECTOMY INSTRUCTIONS INSTRUCTIONS BEFORE SURGERY (PREOPERATIVE): This is usually a same day surgical proced ure,,,,,['bleeding'],ENT Surgery,ENT Surgery,0.72
[92%] ThyroidectomyParathyroidectomy-postop.pdf,"Endocrine Surgery 734-936-5738 -1 - Thyroidectomy/ Parathyroidectomy Post -Operative Instructions What should I expect after my surgery? Your recovery will depend on why you had surgery, the type of surgery performed , and your previous activity level",,,,,['infection'],ENT Surgery,ENT Surgery,0.92
[86%] Postoperative-Instructions-Rhino.pdf,ACTIVITY THE FIRST WEEK Limit activity sharply over the first week following surgery,,,,,"['bleeding', 'infection']",ENT Surgery,ENT Surgery,0.86
[70%] Tonsillectomy_%26_Adenoidectomy_MDO_tcm75-155325.pdf,DSA – My Doctor Online – Head and Neck Surgery Last updated – 8/9/13  Tonsillectomy & Adenoidectomy Post-Operative Care Instructions Department of H ead and Neck Surgery 925 -295 -4100 After Your Surgery: Care: •Adequate fluid intake is crucial to avoid dehydration during the recovery period,,,,,['bleeding'],ENT Surgery,ENT Surgery,0.7
[72%] Tonsillectomy-post-op-SCENT-adults.pdf,"The general anaesthetic, surgery and medications may cause you to feel fatigued",,,,,"['bleeding', 'infection', 'complications']",ENT Surgery,ENT Surgery,0.72
[72%] FESS-PatientsGuidePostop.pdf,ENDOSCOPIC SINUS SURGERY | Postoperative Care Instructions A PATIENT’S GUIDE Your active participation in the postoperative phase of treatment is critical to the success of your surgery,,,,,['bleeding'],ENT Surgery,ENT Surgery,0.72
[70%] Post-op-Tonsillectomy.pdf,Department of Otolaryngology -Head and Neck Surgery POST OPERATIVE CARE INSTRUCTIONS FOLLOWING TONSILLECTOMY The following instructions will help you know what to expect in the days following surgery,,,,,"['bleeding', 'infection', 'blood clot']",ENT Surgery,ENT Surgery,0.7
[90%] Post-operative-Instructions-for-Thyroidectomy.pdf,"Following the surgery, the patient is transported to the recovery room where they are observed for approximately an hour",,general,,,[],ENT Surgery,ENT Surgery,0.9
[88%] pl-1083.1-thyroid-surgery-your-recovery-journey.pdf,You are going to have surgery to remove part of or all of your thyroid and we want to ensure you recover from your operation as quickly and as well as possible,,,,,['infection'],ENT Surgery,Thyroidectomy,0.88
[74%] thyroidectomy-postopdoc.pdf,"Generally, patients experience a mild sore throat for 2-3 days following head and neck surgery",,,,,['bleeding'],ENT Surgery,Thyroidectomy,0.74
[56%] GIRFT-best-practice-thyroidectomy-Final-20220830.pdf,It is aimed to provide advice on various aspects of surgery which should be available and clearly documented in a thyroidectomy operation record,,,,,"['bleeding', 'infection', 'scarring', 'complications']",ENT Surgery,Thyroidectomy,0.56
[92%] ThyroidectomyParathyroidectomy-postop.pdf,"Endocrine Surgery 734-936-5738 -1 - Thyroidectomy/ Parathyroidectomy Post -Operative Instructions What should I expect after my surgery? Your recovery will depend on why you had surgery, the type of surgery performed , and your previous activity level",,,,,['infection'],ENT Surgery,Thyroidectomy,0.92
[90%] Post-operative-Instructions-for-Thyroidectomy.pdf,"Following the surgery, the patient is transported to the recovery room where they are observed for approximately an hour",,general,,,[],ENT Surgery,Thyroidectomy,0.9
[72%] FESS-PatientsGuidePostop.pdf,ENDOSCOPIC SINUS SURGERY | Postoperative Care Instructions A PATIENT’S GUIDE Your active participation in the postoperative phase of treatment is critical to the success of your surgery,,,,,['bleeding'],ENT Surgery,Sinus Surgery,0.72
[70%] Tonsillectomy_%26_Adenoidectomy_MDO_tcm75-155325.pdf,DSA – My Doctor Online – Head and Neck Surgery Last updated – 8/9/13  Tonsillectomy & Adenoidectomy Post-Operative Care Instructions Department of H ead and Neck Surgery 925 -295 -4100 After Your Surgery: Care: •Adequate fluid intake is crucial to avoid dehydration during the recovery period,,,,,['bleeding'],ENT Surgery,Tonsillectomy,0.7
[72%] Tonsillectomy-post-op-SCENT-adults.pdf,"The general anaesthetic, surgery and medications may cause you to feel fatigued",,,,,"['bleeding', 'infection', 'complications']",ENT Surgery,Tonsillectomy,0.72
[70%] Post-op-Tonsillectomy.pdf,Department of Otolaryngology -Head and Neck Surgery POST OPERATIVE CARE INSTRUCTIONS FOLLOWING TONSILLECTOMY The following instructions will help you know what to expect in the days following surgery,,,,,"['bleeding', 'infection', 'blood clot']",ENT Surgery,Tonsillectomy,0.7
[70%] 2021-THROAT-SURGERY-post-op-instructions-TONSILLECTOMY.pdf,"Tonsillectomy, T&A, UPPP Surgery Post Operative Instructions POST OP INSTRUCTIONS : TONSILLECTOMY, T&A, UPPP SURGERY GENERAL INSTRUCTIONS 1",,,,,"['bleeding', 'infection']",ENT Surgery,Total Hip Replacement,0.7
[64%] 6221SN%20Comprehensive%20Womens%20brochure%20MSSN%20update_v7.pdf,"Garely, MD, FACOG, FACS Chair, Obstetrics and Gynecology and Director of Urogynecology and Pelvic Reconstructive Surgery Board certified in Obstetrics and Gynecology and Female Pelvic Medicine and Reconstructive Surgery Professor, The Icahn School of Medicine at Mount Sinai Mount Sinai South Nassau has built a Women's Services Department that ranks among the best in the region and has brought big-city medicine to Long Island with a faculty of top-notch physicians and surgeons providing general a",,,,,"['infection', 'complications']",Gynecological Surgery,Gynecological Surgery,0.64
[92%] post-operative-instructions-for-minimally-invasive-gynecologic-surgery.pdf," Do not put anything in the vagina for at least 6 weeks after surgery unless otherwise instructed by your doctor (including tampons, douching, sexual intercourse, etc)",,,,,"['bleeding', 'infection', 'blood clot']",Gynecological Surgery,Gynecological Surgery,0.92
[88%] Hysterectomy-TLH-ERAS-Patient-Guide.pdf,General Hospital Department of Gynecology Division of Gynecology Oncology Updated: 05/06/2024 A GUIDE TO ENHANCING YOUR RECOVERY AFTER LAPAROSCOPIC SURGERY Massachusetts General Hospital Division of Gynecology Oncology This pamphlet is designed to help you understand and prepare for your surgery,,,,,"['infection', 'complications']",Gynecological Surgery,Gynecological Surgery,0.88
[74%] 38-H7B-%E2%80%93-Total-Laparoscopic-Hysterectomy-Recovery-v12.22.2021-1.pdf,"Total Laparoscopic Hysterectomy: Recovery  of 2 In many cases patients are able to return home on the day of their procedure, though you will need to have someone drive you home",,,,,"['bleeding', 'infection', 'blood clot']",Gynecological Surgery,Gynecological Surgery,0.74
[84%] PIIS0090825823001804.pdf,Enhanced recovery after surgery (ERAS®) society guidelines for gynecologic oncology: Addressing implementation challenges -2023 update G,,regional,,,"['bleeding', 'infection', 'complications']",Gynecological Surgery,Gynecological Surgery,0.84
[88%] recovery_guide_following_pelvic_surgery.pdf,org ©IUGA RV1 Recovery Guide Following Vaginal Repair Surgery/ Vaginal Hysterectomy A Guide for Women 1,,,,,"['bleeding', 'infection', 'blood clot', 'complications']",Gynecological Surgery,Gynecological Surgery,0.88
[96%] Post%20Operative%20Instructions%20-%20Laparoscopic%20Hysterectomy.pdf,Center for Minimally Invasive Gynecologic Surgery Post operative instructions for laparoscopic hysterectomy Please read this carefully BEFORE your surgery,,,,,"['bleeding', 'infection', 'complications']",Gynecological Surgery,Gynecological Surgery,0.96
[88%] Hysterectomy-TLH-ERAS-Patient-Guide.pdf,General Hospital Department of Gynecology Division of Gynecology Oncology Updated: 05/06/2024 A GUIDE TO ENHANCING YOUR RECOVERY AFTER LAPAROSCOPIC SURGERY Massachusetts General Hospital Division of Gynecology Oncology This pamphlet is designed to help you understand and prepare for your surgery,,,,,"['infection', 'complications']",Gynecological Surgery,Hysterectomy,0.88
[74%] 38-H7B-%E2%80%93-Total-Laparoscopic-Hysterectomy-Recovery-v12.22.2021-1.pdf,"Total Laparoscopic Hysterectomy: Recovery  of 2 In many cases patients are able to return home on the day of their procedure, though you will need to have someone drive you home",,,,,"['bleeding', 'infection', 'blood clot']",Gynecological Surgery,Hysterectomy,0.74
[96%] Post%20Operative%20Instructions%20-%20Laparoscopic%20Hysterectomy.pdf,Center for Minimally Invasive Gynecologic Surgery Post operative instructions for laparoscopic hysterectomy Please read this carefully BEFORE your surgery,,,,,"['bleeding', 'infection', 'complications']",Gynecological Surgery,Hysterectomy,0.96
[70%] POSTOP-ACL-CHRISTIANO.pdf,"•Low -grade temperatures up to 101 are common after surgery, please call i f t emperature rises above 101",,,,,[],Uncategorized,Uncategorized,0.7
[84%] SAFE-Care-Spay-Neuter-Post-Operative-Care-Instructions-2020.pdf,org Spay/Neuter Post-Operative Care Instructions Immediate post-op care:  Feed smaller meals for the first 24 hours after surgery,,general,,,"['bleeding', 'complications']",Uncategorized,Uncategorized,0.84
[70%] Osuch-ACL-Rehab-Protocol.pdf,"•Low -grade temperatures up to 101 are common after surgery, please call if temperatur e r ises above 101",,,,,[],Uncategorized,Uncategorized,0.7
[72%] Shah-ACL-Rehab-Protocol.pdf,"•Low-grade temperatures up to 101 are common after surgery, please call if temperature rises above 101",,,,,[],Uncategorized,Uncategorized,0.72
[88%] Rhinoplasty-Post-op-Instructions.pdf,"Any time this occurs, follow these procedure specific instructions",,,,,['blood clot'],Uncategorized,Uncategorized,0.88
[76%] POSTOPERATIVE-CAROTID-ENDARTERECTOMY-INSTRUCTIONS.pdf,POSTOPERATIVE CAROTID ENDARTERECTOMY INSTRUCTIONS • Wound care instructions: o You may remove outer dressing two days following surgery o You may have sterl -strips covering your 1nc1slon,,,,,['bleeding'],Uncategorized,Uncategorized,0.76
[47%] Hysterectomy-Recovery-Exercise-Guidelines.pdf,Side effects of a hysterectomy and exercise Always seek approval from your medical specialist before commencing exercise after hysterectomy surgery,,,,,"['blood clot', 'complications']",Uncategorized,Uncategorized,0.47
[88%] Achilles%20Repair%20Discharge%20Instructions.pdf,-Weight bearing precautions o Immediately after surgery you will have crutches with the post-op splint,,,,,['blood clot'],Uncategorized,Uncategorized,0.88
[70%] postop-instructions-endo-ctr-final.pdf,• Lifting/ Weightbearing : You may use your hand and fingers normally immediately after surgery,,,,,['bleeding'],Uncategorized,Uncategorized,0.7
[47%] Hysterectomy-Recovery-Exercise-Guidelines.pdf,Side effects of a hysterectomy and exercise Always seek approval from your medical specialist before commencing exercise after hysterectomy surgery,,,,,"['blood clot', 'complications']",Uncategorized,Hysterectomy,0.47
[74%] Appendectomy.pdf,Division of General & Gastrointestinal Surgery PATIENT DISCHARGE INSTRUCTIONS FOLLOWING APPENDECTOM Y DIET  Drink plenty of fluids,,,,,[],Uncategorized,Appendectomy,0.74
[70%] POSTOP-ACL-CHRISTIANO.pdf,"•Low -grade temperatures up to 101 are common after surgery, please call i f t emperature rises above 101",,,,,[],Uncategorized,ACL Reconstruction,0.7
[70%] Osuch-ACL-Rehab-Protocol.pdf,"•Low -grade temperatures up to 101 are common after surgery, please call if temperatur e r ises above 101",,,,,[],Uncategorized,ACL Reconstruction,0.7
[72%] Shah-ACL-Rehab-Protocol.pdf,"•Low-grade temperatures up to 101 are common after surgery, please call if temperature rises above 101",,,,,[],Uncategorized,ACL Reconstruction,0.72
[76%] POSTOPERATIVE-CAROTID-ENDARTERECTOMY-INSTRUCTIONS.pdf,POSTOPERATIVE CAROTID ENDARTERECTOMY INSTRUCTIONS • Wound care instructions: o You may remove outer dressing two days following surgery o You may have sterl -strips covering your 1nc1slon,,,,,['bleeding'],Uncategorized,Carotid Endarterectomy,0.76
[92%] latepl.pdf,"POSTOPERATIVE INSTRUCTIONS LATERAL EPICONDYLITIS (TENNIS ELBOW) SURGERY DIET  Begin with clear liquids and light foods (jellos, soups, etc",,,,,"['bleeding', 'infection']",Orthopedic Surgery,Orthopedic Surgery,0.92
[64%] BEST%20trigger%20finger%20PUBLISHED(1).pdf,1 British Society for Surgery of the Hand Evidence for Surgical Treatment (BEST) Topic: Evidence based management of adult trigger digit s Date of publication: October 2016 Date of anticipated review: October 2021 NICE has accredited the process used by British Society for Surgery of the Hand to produce Clinical Guidelines,,,,,[],Orthopedic Surgery,Orthopedic Surgery,0.64
[92%] mc2111-01.pdf,PATIENT EDUCATION Total Hip Replacement Surgery BARBARA WOODWARD LIPS PATIENT EDUCATION CENTER  of 24 mc2111-01  of 24 mc2111-01 1About Total Hip Replacement Surgery Total hip replacement surgery is also called total hip arthroplasty,,,,,"['bleeding', 'infection', 'blood clot', 'nerve damage', 'complications']",Orthopedic Surgery,Orthopedic Surgery,0.92
[72%] total-knee-replacement.pdf,"Orthopaedic Surgery Joint Preservation and Replacement Center After Total Knee Replacement Postoperative Instructions Robert Arciero, M",,,,,"['bleeding', 'blood clot']",Orthopedic Surgery,Orthopedic Surgery,0.72
[88%] Hallux%20valgus%20(bunion).pdf,Surgic al treat ment Surgery for bunions usually only happe ns after simpl e measures have failed to relieve your pain,,,,,"['bleeding', 'infection', 'blood clot', 'nerve damage', 'complications']",Orthopedic Surgery,Orthopedic Surgery,0.88
[96%] 168098.pdf,Dressing: You can change your surgical dressing 72 hours after surgery,,,,,"['bleeding', 'infection', 'blood clot']",Orthopedic Surgery,Orthopedic Surgery,0.96
[90%] achilles-tendon-repair-eng-upd.pdf,"Post Op Instructions: Achilles Tendon Repair PLEASE READ THESE INSTRUCTIONS COMPLETELY AND ASK FOR CLARIFICATION IF NECESSARY - DIRECT QUESTIONS TO YOUR NURSE BEFORE LEAVING THE SURGERY CENTER OR VIA PHONE/EMAIL TO OUR STAFF AFTER ARRIVING HOME WOUND CARE  To avoid infection, keep surgical incisions clean and d ry – you may shower by placing a large garbage bag over your splint starting the day after surgery – NO immersion of operative leg (i",,,,,"['bleeding', 'infection', 'blood clot']",Orthopedic Surgery,Orthopedic Surgery,0.9
[88%] pd-maindocument-2022_web.pdf,"Marshall Health Contact Information Telephone Number: 877-691-1600 Mailing Address: 1600 Medical Center Drive, Huntington, WV 25701 Hours of Operation: 8 a",,,,,[],Orthopedic Surgery,Orthopedic Surgery,0.88
[51%] 00006416-201901000-00004.pdf,"5 ANCC Contact Hours Currently, more than 750,000 total knee replace - ment (TKR) surgical procedures are performed each year in the United States, and this num - ber is expected to increase to more than 1,375,574 by the year 2020 (American Academy of Orthopedic Surgeons, 2014; Kurtz, Ong, Lau, & Bozic, 2014)",,regional,,,"['infection', 'complications']",Orthopedic Surgery,Orthopedic Surgery,0.51
[92%] postopachilles.pdf,"RAMAPPA’S POST-OPERATIVE INSTRUCTIONS Achilles Tendon Repair Sports Medicine Beth Israel Deaconess Medical Center 617-667-3940 Wound Care : ¾ After your Achilles Tendon surgery, you will be placed in a splint",,,,,[],Orthopedic Surgery,Orthopedic Surgery,0.92
[92%] lateral-epicondylitis-tennis%20elbow-surgery.pdf,"Weber, MD Sports Medicine Surgery Team Physician USC Athletics and LA Kings Appointments: 855-SC-SPORT Office: 818-658-5921 Cellular: 518-928-8389 Email: weberae@usc",,,,,"['bleeding', 'infection']",Orthopedic Surgery,Orthopedic Surgery,0.92
[100%] s12630-016-0718-7.pdf,"Leyla Baghirzada, MD Received: 26 November 2015 / Revised: 19 June 2016 / Accepted: 3 August 2016 / Published online: 16 August 2016 /C211Canadian Anesthesiologists’ Society 2016 Abstract Purpose Hip arthroscopy is a minimally invasive surgical procedure indicated for the treatment of speciﬁc hip disorders",,regional,,,"['bleeding', 'infection', 'complications']",Orthopedic Surgery,Orthopedic Surgery,1.0
[68%] 07cb6d_7b0f89950c83471b9f5ba341b5074fe0.pdf,"159 East 74th Street New York, NY 10021 Tel (212) 737-3301 Instruction Sheet following Achilles Tendon Repair Splint and Dressings: The post operative splint and dressings place on you immediately after your surgery must stay on at all times and should be kept clean, dry, and in place",,,,,['bleeding'],Orthopedic Surgery,Orthopedic Surgery,0.68
[88%] Post-op-%20Instructions%20-Endoscopic%20Carpal%20Tunnel%20Release%20-Summit.pdf,"Haque, MD Hand and Upper Extremity Surgery CAO - Summit Orthopedics Division (301) 657 -9876 The Surgery Your endoscopic carpal tunnel release surgery is an outpatient procedure that will be done in a formal oper ating room",,local,,,[],Orthopedic Surgery,Orthopedic Surgery,0.88
[70%] distal-biceps-tendon-repair.pdf,•Use ice over your arm for the first 24 -36 hours after surgery,,,,,[],Orthopedic Surgery,Orthopedic Surgery,0.7
[88%] Achilles-Tendon-Repair-Post-Op.pdf,"Hess, MD Tracey Pederson, PCC Office: (763) 302-2223 Fax: (763) 302-2401 WOUND CARE: • After surgery, your leg will typically be placed in a splint",,,,,['blood clot'],Orthopedic Surgery,Orthopedic Surgery,0.88
[92%] Total-Knee-Post-Op.pdf,"Hess, MD Tracey Pederson, PCC Office: (763) 302-2223 Fax: (763) 302-2401 WOUND CARE: • After surgery, wounds are typically covered with an adhesive dressing",,,,,['blood clot'],Orthopedic Surgery,Orthopedic Surgery,0.92
[88%] Schwartz-PostOp-AchillesTendonRepair.pdf,"Schwartz, MD Preparing for Tendon Repair Surgery 1 week before surgery ● Stop taking aspirin products",,,,,"['bleeding', 'blood clot']",Orthopedic Surgery,Orthopedic Surgery,0.88
[100%] biceps-tenodesis-discharge-instructions-pt-protocol.pdf,"DISCHARGE INSTRUCTIONS & PHYSICAL THERAPY PROTOCOL: Shoulder Arthroscopy, Debridement, Biceps Tenodesis Initial recovery after shoulder surgery entails healing, controlling swelling and discomfort and regaining some shoulder motion",,,,,[],Orthopedic Surgery,Orthopedic Surgery,1.0
[96%] knee-class-brochure.pdf,"A Patient’s Guide to Total Knee Replacement (TKR) Surgery YOUR PATHWAY TO RECOVERY WHERE THE WORLD COMES TO GET BACK IN THE GAME Volume 2 • 8th Edition • Patient Education Series YOUR PATHWAY TO RECOVERY A Patient’s Guide to Total Knee Replacement (TKR) DEVELOPED BY Members of the Interdisciplinary Patient Family Centered Education Committee and the Adult Reconstruction and Joint Replacement Service SPECIAL THANKS TO • Michael P arks, MD for his leadership and oversight of this material • Chitr ",,,,,"['infection', 'blood clot', 'complications']",Orthopedic Surgery,Orthopedic Surgery,0.96
[76%] 74c2c0dd3edca37b2f2205acd89a6a50post-op-care-instructions.pdf,"Global Veterinary Specialists Total Hip Replacement Postoperative Care Instructions After your pet undergoes a total hip replacement surgery (THR), their post-operative care is critical in terms of comfort, safety and recuperation",,,,,"['infection', 'complications']",Orthopedic Surgery,Orthopedic Surgery,0.76
[92%] 5419-2-Bunion-Surgery.pdf,"Source: Trauma & Orthopaedics Reference No: 5419 -1 Issue date: 01/03/2021 Review date: 01/03/2024 Page: 1 of 5 PATIENT INFORMATION Bunion Surgery - Metatarsal Osteotomy What is a bunion? (Hallux Valgus) A bunion, (Hallux Valgus ) is a lump at the base of the big toe caused by sideways drifting and angulation of the big toe",,,,,"['infection', 'blood clot', 'complications']",Orthopedic Surgery,Orthopedic Surgery,0.92
[90%] Chang-DC-Achilles-Tendon-Repair.pdf,"This should be done as much as possible, especially in the first 3 -5 days following surgery",,,,,['blood clot'],Orthopedic Surgery,Orthopedic Surgery,0.9
[88%] hip-exercises-print-guide.pdf,"1 Home Therapy Exercises After Total Hip Replacement Recovery after Surgery To see the full benefit of hip replacement, therapy will be a necessary part of the r ehabilitation process",,,,,[],Orthopedic Surgery,Orthopedic Surgery,0.88
[64%] lhmc-achilles-tendon-rupture-repair-protocol.pdf,"Rehabilitation Protocol: Achilles Tendon Repair Protocol Department of Orthopaedic Surgery Lahey Hospital & Medical Center, Burlington 781 -744-8650 Lahey Outpatient Center, Lexington 781 -372-7020 Lahey Medical Center, Peabody 978 -538-4267 Department of Rehabilitat ion Services Lahey Hospital & Medical Center, Burlington 781 -744-8645 Lahey Hospital & Medical Center, South Bedford Street, Burlington 781 -744-8648 Lahey Danvers Rehabilitation, Danvers 978 -739-7400 Lahey Outpatient Center, Lexi",,,,,['infection'],Orthopedic Surgery,Orthopedic Surgery,0.64
[77%] 5fec6328136f69.87151047.pdf,"Arthrosc opy or keyhole surgery is performed using an arthroscope, this is a small telescope approximately 1cm in diameter, it contains a light source and a tiny camera, this is inserted through a small incision (cut) in the skin near the affected joint",,,,,"['bleeding', 'infection', 'complications']",Orthopedic Surgery,Orthopedic Surgery,0.77
[84%] knee-exercises-print-guide.pdf,"1 Home Therapy Exercises After Total Knee Replacement Recovery after Surgery To see the full benefit of knee replacement, therapy will be a necessary part of the rehabilitation process",,,,,[],Orthopedic Surgery,Orthopedic Surgery,0.84
[92%] Total-Knee-Replacement.pdf,"Orthopaedic Surgery Joint Preservation and Replacement Center After Total Knee Replacement Postoperative Instructions Robert Arciero, M",,,,,"['bleeding', 'blood clot']",Orthopedic Surgery,Orthopedic Surgery,0.92
[86%] s12891-016-1133-5.pdf,STUDY PROTOCOL Open Access Patient participation in postoperative care activities in patients undergoing total knee replacement surgery: Multimedia Intervention for Managing patient Experience (MIME),,,,,['complications'],Orthopedic Surgery,Orthopedic Surgery,0.86
[92%] A_Guide_to_Bunion_Correction_Surgery.pdf,"0 Approved by NHS Lothian Patient Information Team: Jan 2021 Review date: Jan 2024  of 18 Bunion correction surgery Information for patients What are the benefits of bunion correction surgery? The potential benefits from surgery are : A reduction in pain Improved alignment of the big toe, making the toe straighter The bulkiness of the joint is removed, reducing the bump and therefore footwear is more comfortable",,,,,"['bleeding', 'infection', 'blood clot', 'scarring', 'complications']",Orthopedic Surgery,Orthopedic Surgery,0.92
[92%] postop-mis-buniion-surgery-rehab-protocol.pdf,8100 Post-Surgical Rehabilitation Protocol for Minimally Invasive Hallux Valgus (Bunion) Surgery Scan to be directed to Dr,,,,,['blood clot'],Orthopedic Surgery,Orthopedic Surgery,0.92
[96%] total-joint-hip-discharge-english.pdf,com Discharge Instructions for Total Hip Replacement Surgery You have undergone hip replacement surgery,,,,,"['infection', 'blood clot']",Orthopedic Surgery,Orthopedic Surgery,0.96
